areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
All Downtown,Manhattan,submarket,3200,3200,3025,3100,3100,3200,3195,3200,3400,3495,3450,3400,3365,3397,3300,3300,3395,3400,3395,3495,3625,3660,3550,3495,3450,3455,3500,3500,3587,3550,3500,3550,3650,3600,3675,3675,3550,3500,3500,3500,3500,3500,3500,3585,3650,3650,3695,3600,3630,3600,3600,3650,3650,3595,3595,3595,3650,3600,3600,3600,3600,3639,3649,3700,3750,3700,3700,3767,3795,3800,3750,3775,3700,3706,3750,3795,3800,3850,3895,3795,3795,3756,3700,3650,3650,3700,3695,3711,3790,3724,3724,3700,3653,3662,3675,3630,3650,3750,3730,3750,3825,3800,3795,3800,3804,3800,3887,3800,3850
All Midtown,Manhattan,submarket,2895,2800,2800,2850,2900,2950,3000,3000,3105,3134,3169,3171,3200,3200,3200,3200,3250,3300,3350,3300,3350,3398,3400,3375,3300,3288,3264,3350,3395,3395,3395,3400,3410,3400,3450,3450,3400,3425,3400,3395,3375,3395,3350,3395,3400,3400,3395,3400,3350,3390,3395,3400,3450,3450,3400,3400,3400,3450,3495,3500,3500,3500,3500,3500,3550,3525,3518,3506,3563,3500,3500,3500,3495,3500,3500,3550,3575,3500,3529,3500,3549,3500,3500,3500,3470,3495,3466,3500,3502,3531,3500,3500,3500,3500,3350,3350,3387,3395,3389,3450,3500,3500,3507,3500,3529,3550,3543,3583,3509
All Upper East Side,Manhattan,submarket,2469,2450,2400,2500,2550,2550,2595,2500,2595,2550,2500,2550,2500,2500,2475,2500,2600,2695,2650,2695,2795,2800,2800,2800,2700,2700,2695,2695,2695,2750,2700,2735,2825,2795,2849,2800,2795,2800,2795,2750,2750,2750,2700,2800,2850,2850,2800,2800,2700,2750,2700,2700,2700,2700,2700,2700,2750,2750,2800,2835,2850,2900,2895,2870,2950,2993,2950,2995,3025,2995,2900,2950,2995,2975,3000,3000,3000,2995,2975,2900,2950,2950,2975,3000,2975,2995,2925,2950,2950,2950,2929,2900,2995,2945,2995,2990,2920,2895,2850,2850,2850,2900,2925,2900,2895,2995,2995,3000,3000
All Upper Manhattan,Manhattan,submarket,1825,1800,1795,1800,1823,1850,1875,1850,1895,1875,1849,1850,1850,1800,1875,1895,1900,1950,1950,1976,1995,1985,1995,2000,2000,2000,2000,2000,1995,1995,2000,2050,2000,1995,2000,2000,1995,2000,2000,2000,2065,2100,2150,2154,2150,2038,2000,2000,2000,1999,2000,2095,2100,2100,2100,2150,2123,2150,2195,2195,2190,2200,2200,2200,2250,2295,2295,2300,2290,2275,2250,2250,2294,2289,2300,2375,2395,2350,2395,2400,2400,2395,2395,2390,2350,2300,2296,2325,2350,2350,2395,2395,2354,2350,2250,2295,2265,2295,2300,2350,2395,2400,2430,2400,2350,2350,2300,2300,2300
All Upper West Side,Manhattan,submarket,2895,2800,2750,2800,2798,2795,2800,2895,2995,3000,3000,2995,2995,3000,2950,3000,3000,3100,3100,3200,3250,3342,3386,3455,3300,3200,3035,3150,3200,3200,3250,3300,3300,3350,3350,3300,3200,3250,3200,3200,3250,3150,3199,3250,3275,3300,3200,3225,3200,3195,3200,3295,3299,3275,3200,3200,3295,3300,3280,3250,3290,3300,3250,3300,3350,3395,3405,3495,3550,3500,3525,3500,3450,3450,3450,3475,3495,3450,3495,3407,3480,3450,3400,3375,3300,3310,3299,3300,3350,3369,3378,3395,3395,3395,3323,3350,3350,3290,3250,3290,3300,3350,3334,3323,3400,3395,3395,3400,3419
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,1600,1650,1620,1600,1700,1700,1600,1600,1600,1700,1650,1650,1600,1600,1750,1825,1900,1900,1820,1900,1900,1900,1973,2000,2000,2038,2038,2113,2100,1990,2175,2225,2220,2138,2021,2000,2000,2000,1950,2000,2200,2100,2200,2150,2125,2100,2000,2025,2100,2100,2100,2100,2100,2100,2100,2150,2200,2200,2200,2150,2200,2200,2200,2300,2300,2297,2300,2300,2200,2200,2200,2200,2200,2200,2300,2300,2300,2300,2300,2350,2350,2300,2292,2275,2250,2200,2200,2200,2200,2250,2300,2300,2250,2190,2200,2195,2150,2117,2100,2100,2200,2200,2215,2250,2250,2200,2150,2150,2199
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,,2300,2100,1995,1995,1950,1900,1995,1995,1695,,1798,1625,1795,1850,2100,2225,2100,2048,2048,2100,2000,,1895,2195,2195,2295,2023,2195,2198,1795,1995,1600,1795,2300,2300,2300,2095,2095,1850,2098,2095,2000,1895,1995,1995,1900,2095
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1075,1075,1188,1200,1075,1138,,,,,,,,,,,,,,,,,,,,,,1475,1638,1650,,,,2200,1725,1800,1775,1575,1450,,1700,1750,1775,1775,2000,1850,1613,1700,1700,1800,2000,2000,1898,1745,1950,2025,2175,2250,2050,2098,2000,2200,2200,1900,1900,2100,1950,1850,1950,1950,2000,1975,1950,1850,1898,2000,1848,1875,1950,2000,2023,2000,1850,1700,1675,1675,1773,1735,1688,1700
Battery Park City,Manhattan,neighborhood,3495,3346,3268,3295,3100,3395,3200,3225,3360,3415,3348,3350,3300,3150,3195,3368,3700,3693,3625,3650,3840,3850,3700,3615,3400,3500,3500,3600,3798,3905,4450,4375,4185,4050,4100,3995,3800,3500,3500,3568,3875,3995,3850,3850,3863,3995,3850,3895,3900,4013,4100,3550,3695,4650,4300,4198,4500,4063,3898,3595,3800,3950,4025,4150,4518,4630,4700,4795,4750,4750,5100,4750,4611,4600,4595,4825,4600,4675,4650,4765,4750,4250,4050,4025,4175,3995,3910,3995,4350,4393,4515,4400,4546,4695,3880,3950,4200,4100,4050,4290,4650,4525,4750,4877,4995,4900,4500,4375,4425
Bay Ridge,Brooklyn,neighborhood,1350,1388,1350,1350,1350,1350,1300,1300,1300,1400,1475,1450,1425,1425,1450,1500,1560,1510,1650,1750,1750,1550,1750,1600,1650,1495,1495,1700,1875,1450,1450,1498,1800,1800,1800,1925,1550,1498,1925,1795,1625,1600,1750,1650,1750,1650,1650,1650,1600,1600,1575,1600,1875,1900,1900,1800,1850,1800,1800,1735,1700,1700,1749,1800,1800,1800,1800,1850,1898,1850,1850,1875,1900,2000,2000,2000,2000,2100,2000,2098,2000,2100,2100,2100,2000,2000,1950,1975,2000,2000,1995,1897,1895,1900,1850,1850,2000,1995,1900,1963,1950,1950,1850,1995,2000,2000,1995,1900,1900
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,1775,1838,1888,1838,,,,,,,,,,,,1975,2000,1950,2000,1975,1975,1925,1950,1950,1900,1795,1875,1875,1950,2000,1850,1850,1850,1900,1925,1925,1900,1900,2000,2050,2013,1975,1795,1850,2000,2100,1950,1950,1798,1795,1875,1850,1873,2163,2200,2250,2150,2200,2200,2225,2200,2200,2250,2300,2300,2300,2300,2250,2300,2300,2400,2350,2400,2375,2400,2450,2350,2400,2375,2250,2400,2250,2250,2500,2500,2549,2500,2400,2400,2400,2400,2375,2450,2450,2375,2210,2500,2350,2300,2300,2300,2375,2400,2475,2350,2500,2350,2100,2150
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,1050,1025,1000,,1100,,,,,,,,,1025,1098,1123,,,,,1000,1088,,,1400,1400,1400,1400,1400,1400,1375,1400,1400,1400,1275,1300,1350,1388,1497,1550,1450,1488,1450,1438,1398,1450,1450,1350,1471,1475,1500,1513,1483,1450,1400,1400,1500,1500,1550,1550,1550,1550,1495,1500,1583,1583,1499,1350,1573,1600,1490,1550,1575,1550,1438,1823,1600,,1875
Bedford-Stuyvesant,Brooklyn,neighborhood,1650,1650,1600,1650,1650,1593,1460,1450,1500,1650,1650,1750,1700,1600,1500,1500,1500,1600,1650,1650,1675,1675,1800,1700,1650,1650,1800,1850,1800,1795,1750,1750,1800,1800,1850,1995,1995,1950,1950,1983,2000,2050,2150,2200,2195,2195,2195,2195,2138,2150,2200,2200,2200,2300,2300,2350,2300,2250,2300,2300,2275,2250,2300,2350,2350,2400,2400,2455,2400,2350,2350,2300,2350,2350,2350,2400,2450,2475,2499,2499,2475,2450,2400,2400,2400,2350,2345,2395,2400,2478,2475,2475,2450,2400,2400,2350,2350,2300,2395,2450,2500,2500,2567,2595,2550,2500,2475,2475,2436
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,,2000,2100,,,2000,,,,,,,,,,,,,,,,1925,,,,,,2275,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2175,2400,,,,,,,1325,1300,1250,1250,,,,1075,,,,,,,,1295,1350,,1450,1725,1500,1500,1500,1500,1499,1500,1763,1650,1750,1550,1600,1600,1400,1475,1435,1550,1625,1698,1700,1700,1650,1775,1660,1670,1700,1675,1690,1700,1725,1750,1775,1750,1700,1613,1625,1650,1613,1725,1875,2000,1879,1840,2100,2100,1813,1700,1974
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,1300,1300,1350,1488,1375,1225,,,,,,,,,,,,1525,1550,,,,1450,1500,1425,1138,1275,1325,1400,1450,1313,1550,1500,1398,1395,1398,1500,1575,1600,1500,1500,1575,1600,1525,1500,1500,1600,1725,1600,1700,1698,1625,1550,1600,1650,1600,1700,1750,1675,1700,1773,1748,1800,1850,1800,1900,2100,2025,1875,1725,2000,1848,1800,1800,1700,1788,1700,1900,1738,1750,1713,1768,1700,1773,1800,1800,1880,1879,1700,1850,1900,1850,1875,1900,1850
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1995,1950,1950,,,,,1998,,,,,,,,,,,,,,,,,2000,2000,2000,2000,2000,2000,2000,,,,2299,,2200,2150,2050,,,,,2175,2275,2300,2150,2225,2063,2325,2300,2225
Boerum Hill,Brooklyn,neighborhood,2600,2700,2600,2500,2500,2463,2475,2500,2850,2725,2775,2675,2638,3000,3125,3000,3598,2900,2800,2800,2500,2998,3000,3800,3500,3500,3000,3263,2675,2850,3048,3100,3275,3075,3000,3200,3100,3000,3000,3200,3300,3275,3200,3500,4150,3600,3050,3000,3075,3250,3200,3400,3000,3013,3045,3000,3000,2998,2900,2875,2800,2850,3100,2800,2800,2950,2900,2850,2975,2900,2832,2750,2800,2900,3025,3350,3500,3300,3200,2950,2875,2800,2800,2900,2979,3085,2987,2987,3100,3025,3200,3250,3289,3162,3000,3175,3000,3000,3000,2998,3400,3257,3225,3200,3199,3250,3500,3100,3000
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,1175,,,1225,1200,1150,1175,1200,1225,1300,,,1275,,,,,,1400,,1300,,,,,,,,,,,,,,,,1445,1300,1475,1700,1750,1800,1700,1695,1690,1700,1690,1525,1500,1500,1550,1595,1595,1699,1650,1600,1595,1550,1850,1800,1725,1750,1595,1650,1700,1750,1750,1900,1900,1900,2083,1850,1825,2025,2030,1995,1750,1795,1700,1750,1738,1795,1788,1895,1800,1650,1660,1638,1750,1700,1750,1850,1885,1825,1800,1900,1875,1700,1875
Bowne Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,Queens,neighborhood,,1325,,,,,,,,,,1425,,,,,1400,,,,,,,,,,,,,,,,,,,,1450,1463,1450,1550,1550,1463,1550,1450,,1595,1550,1525,1600,1600,1598,1573,1595,1638,1638,1650,1675,1759,1663,1695,1663,1650,1695,1649,1700,1775,1750,1748,1700,1725,1713,1725,1700,1750,1725,1763,1800,1713,1750,1685,1655,1690,1685,1695,1650,1675,1700,1720,1700,1700,1713,1773,1700,1797,1849,1797,1795,1725,1798,1800,1720,1749,1750,1699,1750,1769,1750,1815,1775
Brighton Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,1311,1275,,1200,1350,1623,,1313,1300,,,,,,,1725,1613,1650,1663,1700,1700,1800,1900,2200,2300,1900,1775,1802,1814,1775,1800,2016,2150,2031,1985,2200,1784,2000,1900,2000,1850,1900,1900,1950,1800,1800,1638,1750,1813,1825,1995,2100,2125,1950,1950,1995,2248,2300,2000,1875,1950,1950,1950,1875,1875,1863,1925,1900,2000,2100,2300,2200,2100,2175,2150,2100,2100,2250,2100,2025,2075,2098,2000,2013,2025,2045,2000,2075,2125,2113,2099,2100,2050,2000,2100,2150
Bronx,Bronx,borough,1600,1600,1508,1508,1600,1500,1529,1600,1600,1500,1600,1600,1595,1550,1600,1600,1498,1450,1563,1500,1363,1397,1399,1399,1400,1550,1500,1500,1475,1400,1499,1500,1400,1500,1600,1500,1413,1423,1475,1500,1575,1525,1490,1575,1550,1450,1499,1500,1499,1550,1600,1600,1600,1700,1550,1500,1475,1425,1450,1450,1450,1475,1500,1500,1500,1500,1500,1600,1600,1595,1600,1600,1600,1600,1550,1600,1625,1699,1700,1700,1699,1695,1650,1700,1675,1675,1750,1700,1725,1725,1750,1750,1750,1794,1781,1727,1787,1800,1850,1900,1900,1900,1895,1879,1900,1900,1825,1850,1900
Bronxwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,,1250,,,,,,,,,,,,,,,,,,,1613,1508,1450,1450,1500,1538,1525,1525,1650,1500,1500,1600,1525,1475,1500,1500,1700,1600,1525,1525,1750,1550,1610,1600,1550,1625,1595,1700,1650
Brooklyn,Brooklyn,borough,2200,2150,2150,2150,2200,2250,2300,2300,2400,2395,2200,2150,2100,2000,2100,2166,2200,2300,2350,2400,2450,2400,2400,2450,2475,2450,2499,2500,2500,2500,2500,2500,2650,2600,2600,2700,2500,2500,2500,2500,2500,2600,2600,2700,2700,2600,2500,2550,2500,2500,2500,2535,2600,2600,2600,2600,2590,2500,2500,2500,2500,2550,2550,2550,2550,2582,2600,2650,2600,2550,2500,2500,2590,2550,2590,2600,2650,2650,2650,2650,2600,2599,2500,2500,2500,2500,2495,2500,2500,2550,2599,2615,2598,2500,2495,2450,2450,2450,2495,2500,2590,2600,2695,2680,2600,2550,2500,2500,2500
Brooklyn Heights,Brooklyn,neighborhood,2350,2300,2400,2200,2400,2250,2600,2900,3200,3400,2621,2633,2600,3050,3200,3200,2500,2850,2925,3000,3000,2975,2875,2700,2750,2700,2700,2500,2925,3150,3350,3500,3300,3200,3000,2775,2800,3000,3300,2995,3100,3096,3450,3380,3315,3200,3100,3020,3000,2925,2995,3000,3000,2800,2840,3000,2875,2960,3000,2853,2725,2900,2970,3060,2950,2973,3155,3270,3155,3195,3178,2858,3058,3300,3195,3000,3155,3150,3100,3160,3300,3200,3150,3400,3400,3250,3200,3178,3000,3100,3035,2995,3000,3100,3000,3100,3200,3055,3000,2815,2979,3100,3175,3250,3425,3300,3200,3250,3100
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,,,,,1425,1450,1450,1450,1450,1450,1400,1500,1400,1295,1400,,1225,1325,1350,1300,1300,1375,1375,1400,1350,1350,1500,1400,1313,1313,1360,1400,1500,1500,1500,1500,1600,1599,1500,1613,1600,1600,1608,1600,1500,1700,1650,1695,1695,1650,1650,1700,1750,1750,1700,1800,1750,1800,1800,1700,1700,1795,1750,1698,1700,1725,1800,1750,1795,1800,1850,1850,1875,1950,1900,1900,2100
Bushwick,Brooklyn,neighborhood,1599,1475,1500,1875,1950,1525,1500,1500,1500,1500,1425,1500,1695,1695,1695,1700,1700,1600,1900,1925,1500,1725,1800,1775,1713,1738,1800,1858,1840,2000,2025,2000,2150,2025,2000,2099,2100,2200,2200,2400,2300,2100,2200,2400,2400,2400,2395,2300,2263,2267,2317,2400,2400,2475,2463,2500,2500,2400,2400,2385,2400,2499,2500,2500,2545,2550,2590,2600,2650,2600,2500,2495,2500,2650,2600,2595,2600,2658,2600,2600,2600,2500,2500,2488,2446,2450,2499,2550,2599,2600,2650,2650,2600,2500,2495,2450,2450,2485,2499,2550,2605,2695,2700,2695,2600,2567,2500,2460,2500
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,1375,1400,1525,1450,,,,,,,,,,,,,,,,,,,,,,,1500,,1595,,,,,,,,1350,1400,1475,1350,,1800,1500,1800,1750,1500,1600,1700,1700,1800,1850,1850,1850,1850,1850,1800,1800,1800,1800,1799,1863,1800,1813,1800,1900,1838,1800,1825,2200,1850,1750,2025,2100,2100,2100,1825,1900,1900,1900,2075,2174,2100,2000,1999,2050,2199,2150,2275,2250,2250,2000,2000,2000
Carroll Gardens,Brooklyn,neighborhood,2275,2225,2275,2175,2200,2200,2250,2200,2250,2250,2200,2250,2400,2250,2250,2400,2838,2675,2550,3000,3500,2900,2500,2600,2900,2800,3798,3675,3600,3400,2875,3750,3550,3500,3200,3000,3400,2950,3200,3350,2800,2900,2900,3300,2895,3000,3400,3300,2800,2800,2800,2800,2900,2800,2800,2900,3000,3000,3000,2850,2900,2800,2900,2950,2950,3000,3000,3000,3000,3000,3000,3000,2998,2875,2950,2950,3000,3000,3200,3000,3000,3100,3000,2900,3000,2800,2800,2800,2875,2850,2900,2900,2800,2950,2900,2850,2800,2900,2825,2999,3200,3000,3000,2998,3000,2983,2875,3200,3000
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,1498,,,,,,,,1513,1300,,,1450,1450,,1525,1450,,1574,1475,1475,1475,1488,1625,1795,1496,1700,1650,1700,1495,1473,1525,1850,1900,1800,1800,1850,,,,1500,1600,1800,1750,1750,1799,,,
Central Harlem,Manhattan,neighborhood,1950,1950,1893,1863,1900,1900,1850,1800,1850,1850,1800,1750,1798,1800,1895,1950,2048,2095,2098,2057,2000,1995,2100,2000,1995,2000,2000,2125,2095,1983,2200,2295,2200,2000,2100,2000,2000,2000,2100,2108,2150,2175,2200,2269,2293,2200,2200,2100,2100,2100,2000,2150,2200,2150,2200,2250,2295,2375,2350,2350,2350,2400,2383,2300,2300,2300,2300,2350,2300,2400,2329,2400,2400,2395,2400,2490,2450,2400,2450,2500,2500,2500,2500,2500,2490,2395,2350,2350,2400,2400,2495,2500,2450,2395,2350,2380,2399,2400,2495,2550,2500,2500,2550,2600,2500,2450,2400,2400,2450
Central Park South,Manhattan,neighborhood,6000,6000,5500,6500,6500,5800,5650,6000,6500,6500,6500,6500,6500,6500,5600,5700,6500,5000,4900,5550,5975,5800,6000,5700,5500,6000,5650,6100,5000,5500,6375,6575,6650,6450,7000,6400,6650,7500,7850,7850,7500,7500,7888,7925,8625,7825,7825,7998,7935,7850,6800,6650,7500,6900,7500,7500,7500,7500,7825,7850,7500,7850,7850,7500,7500,7500,7850,8225,8200,8563,8000,7998,8000,7850,7875,7995,7888,7800,7650,7378,7500,7500,7500,7500,7500,7280,7025,7000,7000,7800,7650,8500,7800,7820,7087,6862,7500,7735,7650,7500,7200,7200,7885,7820,8625,7975,9500,8473,7775
Central Queens,Queens,submarket,1500,1483,1500,1500,1313,1350,1350,1350,1350,1350,1350,1373,1400,1350,1500,1550,1550,1550,1550,1550,1595,1650,1575,1650,1650,1940,1913,1900,1713,1800,1775,1695,1650,1900,1850,1900,1750,1798,1750,1750,1700,1700,1800,1800,1850,1895,1875,1800,1795,1800,1800,1795,1750,1825,1850,1900,1899,1850,1900,1900,1900,1950,1900,1900,1950,2000,2000,2000,2000,2000,2075,2052,2000,2075,2000,2095,2100,2166,2200,2200,2195,2100,2100,2195,2149,2100,2100,2050,2095,2150,2200,2195,2150,2100,2050,2095,2050,2030,2100,2100,2100,2100,2199,2246,2200,2125,2085,2044,2099
Chelsea,Manhattan,neighborhood,3200,3400,3245,3200,3200,3395,3400,3450,3625,3600,3500,3320,3295,3295,3400,3450,3450,3480,3500,3473,3600,3800,3650,3500,3400,3500,3600,3600,3795,3800,3600,3600,3700,3500,3695,3715,3650,3695,3600,3725,3743,3695,3695,3750,3892,3876,3650,3795,3695,3695,3745,3725,3750,3745,3750,3750,3795,3748,3750,3800,3795,3750,3800,3950,3950,3995,4075,4025,4000,4100,3875,3895,3860,3850,3860,3950,4100,4195,4050,3995,3995,4000,3995,3921,3895,3950,3920,3910,3950,3900,3900,3800,3845,3940,3950,3910,3945,4000,4000,3995,3995,4003,3995,4088,4139,4000,4000,4042,4006
Chinatown,Manhattan,neighborhood,2900,2900,2550,2200,2200,2248,2500,2700,2875,2300,2900,3166,3166,2900,2800,2300,2400,2900,2500,2450,3150,2900,2425,2475,3150,2575,2523,2550,2500,2450,2425,2900,2698,2600,2550,2378,2750,2750,2675,2800,3100,2700,2600,2600,3150,3000,2650,2600,2850,2500,2500,2600,2800,2948,2800,2788,2700,2923,2800,2650,2600,2700,2800,2775,2800,2773,2700,2850,2700,2700,2700,2750,2650,2595,2675,2900,2788,2800,2800,2850,2923,2923,2950,3000,2840,2800,2700,2875,3000,2800,2895,2600,2600,2648,2725,2800,2635,2698,2695,2600,2925,2850,2700,2800,2798,2500,2748,2800,2700
City Island,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Hill,Brooklyn,neighborhood,2085,1950,1975,2000,2100,1900,1875,2075,2300,2269,2100,2059,2177,2269,2300,2350,2350,2300,2250,2304,2500,2535,2495,2600,2650,2750,2698,2763,2550,2688,2727,3010,3000,3000,2950,2850,2525,2650,2585,2600,2600,2600,2500,2500,2500,2500,2600,2700,2699,2575,2600,2650,2700,2700,2725,2800,2769,2700,2600,2700,2700,2750,2750,2750,2750,2650,2700,2758,2850,2750,2700,2650,2699,2700,2670,2650,2700,2700,2700,2700,2753,2797,2750,2606,2600,2650,2650,2600,2704,2700,2700,2600,2595,2795,2722,2730,2700,2600,2650,2775,2873,2875,2850,2800,2750,2700,2700,2800,2985
Co-op City,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,neighborhood,1900,2350,2225,2340,2400,2340,2450,2525,2600,2600,2625,2600,2500,2450,2500,2900,2835,2750,2750,3100,3235,3050,3150,3200,3000,2900,3050,2850,2795,2590,3025,3200,3000,2895,3150,3200,3000,2875,2850,3100,3100,3700,3400,3200,3100,3050,2923,2800,2950,3050,2900,2800,3100,3500,3315,3277,3100,3100,3100,3150,3100,2973,2995,3150,3150,3000,3200,3325,3300,3275,3200,3200,3210,3125,3150,3150,3275,3250,3100,3250,3050,3150,2998,2845,2750,2800,2750,2663,3000,2995,3000,3300,3200,3200,3075,3050,3100,2950,2900,3100,3176,3176,3325,3500,3450,3157,3200,3200,3220
College Point,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2300,,,,,2200,2200,2100,,,,,,,,2100,2175,,,,,,2150,2150,
Columbia St Waterfront District,Brooklyn,neighborhood,2000,1950,,,2550,2500,2500,2450,2700,2650,2200,1775,2000,2200,2200,2200,2200,,2400,2525,,2600,2950,,2350,2400,2600,,2775,2500,2550,2500,2500,3000,2925,3300,2600,2625,3150,3075,3150,3350,3500,3500,2600,2500,2725,2500,2750,2700,2775,2700,2800,2800,2800,2325,2125,2298,2800,2800,2800,2750,2750,2750,2700,2500,2588,2500,2750,2775,2900,2750,2850,2898,3000,2900,3025,2925,3050,2895,2950,2848,2895,2700,2700,2625,2663,2500,2550,2600,2700,2700,2750,2800,2745,2700,2700,2700,2398,2500,3000,3200,3150,2987,2987,2800,2825,2700,2800
Concourse,Bronx,neighborhood,,,,1373,,,,,,1425,,1438,1313,,1500,,,1350,,1350,1250,1100,1199,1100,1300,1325,1300,1300,1350,1400,1475,1375,1300,1375,1350,1399,1400,1400,1400,1400,1500,1500,1645,1500,1495,1425,1388,1425,1450,1400,1491,1425,1450,1300,1463,1500,1500,1500,1500,1350,1295,1400,1550,1450,1450,1600,1525,1500,1600,1600,1550,1450,1500,1500,1495,1550,1550,1600,1650,1600,1650,1600,1525,1550,1510,1500,1674,1675,1625,1550,1579,1650,1722,1797,1650,1600,1595,1850,1700,1850,1875,1774,1750,1743,1673,1700,1675,1800,1813
